dataset	method	trial	ml	score	time
heart	weight_parents	2	DecisionTreeClassifier	0.733333333333	6.3199169635772705
heart	weight_parents	5	DecisionTreeClassifier	0.777777777778	6.627381324768066
heart	weight_parents	7	DecisionTreeClassifier	0.744444444444	6.654714822769165
heart	weight_parents	6	DecisionTreeClassifier	0.755555555556	6.79268479347229
heart	weight_parents	0	LogisticRegression	0.807407407407	12.029849290847778
heart	control	0	DecisionTreeClassifier	0.811111111111	6.802372932434082
heart	weight_parents	5	LogisticRegression	0.811111111111	12.159189462661743
heart	weight_parents	9	DecisionTreeClassifier	0.751851851852	6.913850784301758
heart	weight_parents	9	LogisticRegression	0.82962962963	12.273341655731201
heart	weight_parents	8	LogisticRegression	0.844444444444	12.338171005249023
heart	weight_parents	1	DecisionTreeClassifier	0.766666666667	7.041821479797363
heart	weight_parents	4	LogisticRegression	0.833333333333	12.459125518798828
heart	weight_parents	6	LogisticRegression	0.844444444444	12.893101692199707
yacht	weight_parents	1	LassoLarsCV	0.950217774623	18.728427410125732
yacht	weight_parents	0	LassoLarsCV	0.918944300374	18.921912908554077
yacht	weight_parents	2	LassoLarsCV	0.909283040843	19.54749846458435
yacht	weight_parents	6	LassoLarsCV	0.958835485791	19.93484616279602
yacht	weight_parents	5	LassoLarsCV	0.938932106664	19.661591053009033
heart	control	6	LogisticRegression	0.837037037037	11.35253643989563
heart	control	3	LogisticRegression	0.825925925926	11.393276929855347
yacht	weight_parents	7	LassoLarsCV	0.882974571157	20.225197076797485
yacht	weight_parents	3	LassoLarsCV	0.97495922464	20.29538130760193
yacht	weight_parents	4	LassoLarsCV	0.91676841395	20.30604863166809
heart	control	7	LogisticRegression	0.844444444444	11.308321237564087
heart	control	4	LogisticRegression	0.833333333333	11.202372789382935
heart	control	4	DecisionTreeClassifier	0.759259259259	6.227957725524902
heart	control	5	LogisticRegression	0.844444444444	11.39675259590149
yacht	weight_parents	8	LassoLarsCV	0.954139712232	20.72141456604004
heart	control	2	LogisticRegression	0.855555555556	11.56086778640747
heart	control	7	DecisionTreeClassifier	0.718518518519	6.424551725387573
heart	control	0	LogisticRegression	0.818518518519	11.625547409057617
heart	control	3	DecisionTreeClassifier	0.788888888889	6.085430145263672
heart	control	5	DecisionTreeClassifier	0.814814814815	6.247371435165405
