dataset	method	max_stall	trial	ml	score	time
concrete	stall	10	2	LassoLarsCV	0.589759685947	5.739080190658569
enc	stall	10	5	LassoLarsCV	0.876807584866	3.302388906478882
enc	stall	10	9	LassoLarsCV	0.865609837384	3.2979211807250977
concrete	stall	10	9	LassoLarsCV	0.490099128334	5.936426162719727
housing	stall	10	5	DecisionTreeRegressor	0.274609959869	1.4750735759735107
enc	stall	10	8	LassoLarsCV	0.876520258946	3.3435332775115967
housing	stall	10	4	DecisionTreeRegressor	0.353674127578	1.3374524116516113
housing	stall	10	6	DecisionTreeRegressor	-0.134803752688	1.7481606006622314
housing	stall	10	9	DecisionTreeRegressor	0.418289738432	1.6888353824615479
concrete	stall	10	5	LassoLarsCV	0.571766119583	6.264246463775635
housing	stall	0	9	LassoLarsCV	0.200136055371	0.15518784523010254
housing	stall	0	2	LassoLarsCV	0.200136055371	0.15807747840881348
housing	stall	0	4	LassoLarsCV	0.200136055371	0.1585540771484375
enc	stall	100	6	DecisionTreeRegressor	0.910858470966	9.143974304199219
enc	stall	100	9	DecisionTreeRegressor	0.917464510863	9.164653062820435
housing	stall	0	8	LassoLarsCV	0.200136055371	0.16533446311950684
housing	stall	0	7	LassoLarsCV	0.200136055371	0.16411900520324707
housing	stall	0	5	LassoLarsCV	0.200136055371	0.15396976470947266
housing	stall	0	1	LassoLarsCV	0.200136055371	0.1605207920074463
housing	stall	0	0	LassoLarsCV	0.200136055371	0.157684326171875
housing	stall	0	6	LassoLarsCV	0.200136055371	0.16850566864013672
housing	stall	0	3	LassoLarsCV	0.200136055371	0.1631913185119629
enc	stall	100	2	DecisionTreeRegressor	0.913063695519	9.242526531219482
enc	stall	100	4	DecisionTreeRegressor	0.928417223887	10.2045259475708
housing	stall	10	7	DecisionTreeRegressor	0.259491950007	1.5294644832611084
enc	stall	100	5	DecisionTreeRegressor	0.932534108553	10.173613548278809
enc	stall	100	0	DecisionTreeRegressor	0.916385398898	9.781119108200073
enc	stall	100	7	DecisionTreeRegressor	0.898208671974	9.460833549499512
enc	stall	100	1	DecisionTreeRegressor	0.90018664039	10.053665399551392
enc	stall	100	3	DecisionTreeRegressor	0.918866106703	10.236827373504639
enc	stall	100	8	DecisionTreeRegressor	0.911668821642	10.674899101257324
housing	stall	10	0	LassoLarsCV	-82.2188648677	3.257169008255005
housing	stall	10	6	LassoLarsCV	0.244886479202	3.479857921600342
housing	stall	10	1	LassoLarsCV	0.36000290918	3.543889284133911
housing	stall	10	3	LassoLarsCV	0.350463983385	4.539158344268799
housing	stall	10	4	LassoLarsCV	0.353009627434	4.752010107040405
housing	stall	100	3	DecisionTreeRegressor	0.282608987232	9.709993839263916
housing	stall	100	2	DecisionTreeRegressor	0.229995322322	10.423070669174194
uball5d	stall	0	0	DecisionTreeRegressor	0.787393413075	0.24542856216430664
uball5d	stall	0	4	DecisionTreeRegressor	0.781300450704	0.24599075317382812
uball5d	stall	0	5	DecisionTreeRegressor	0.781134750876	0.24312067031860352
uball5d	stall	0	2	DecisionTreeRegressor	0.786643933317	0.2698252201080322
uball5d	stall	0	1	DecisionTreeRegressor	0.787762364797	0.24521374702453613
housing	stall	100	6	DecisionTreeRegressor	0.33223332258	10.317421436309814
housing	stall	100	5	DecisionTreeRegressor	0.229292217529	10.381733179092407
uball5d	stall	0	8	DecisionTreeRegressor	0.786251784594	0.2531454563140869
uball5d	stall	0	7	DecisionTreeRegressor	0.788353728438	0.24449372291564941
uball5d	stall	0	6	DecisionTreeRegressor	0.785787292248	0.24859237670898438
housing	stall	100	4	DecisionTreeRegressor	0.272606519918	10.489829301834106
housing	stall	10	7	LassoLarsCV	0.131188607794	5.637115478515625
uball5d	stall	0	3	DecisionTreeRegressor	0.783840558114	0.2504897117614746
housing	stall	100	0	DecisionTreeRegressor	0.333436574052	11.250712633132935
concrete	stall	100	3	DecisionTreeRegressor	0.241889271485	16.062753915786743
concrete	stall	100	6	DecisionTreeRegressor	0.0309738201333	16.41059446334839
concrete	stall	100	8	DecisionTreeRegressor	0.242726740375	16.46611499786377
concrete	stall	100	9	DecisionTreeRegressor	0.312970350034	16.692574739456177
concrete	stall	100	5	DecisionTreeRegressor	0.218951463288	16.831948041915894
concrete	stall	100	1	DecisionTreeRegressor	0.0794430708631	16.87625551223755
concrete	stall	100	0	DecisionTreeRegressor	0.272369029266	16.521435499191284

housing	stall	10	2	LassoLarsCV	0.336052152424	2.721156120300293
housing	stall	10	9	LassoLarsCV	0.503706566764	3.4202170372009277
concrete	stall	100	2	DecisionTreeRegressor	0.349227372397	18.1315279006958
concrete	stall	100	7	DecisionTreeRegressor	0.429286069396	18.344900369644165
housing	stall	10	5	LassoLarsCV	0.162830220191	9.468244552612305
housing	stall	10	8	LassoLarsCV	0.393085053939	4.435335159301758
uball5d	stall	0	9	DecisionTreeRegressor	0.784256686146	0.26979684829711914
housing	stall	100	9	DecisionTreeRegressor	0.0956489550012	10.795570611953735
housing	stall	100	8	DecisionTreeRegressor	0.480066376847	11.191902160644531
housing	stall	100	7	DecisionTreeRegressor	0.0235936395212	12.338655233383179
uball5d	stall	0	3	LassoLarsCV	-0.0184024377258	0.15281915664672852
uball5d	stall	0	8	LassoLarsCV	-0.0184024377258	0.1579604148864746
uball5d	stall	0	7	LassoLarsCV	-0.0184024377258	0.16210722923278809
uball5d	stall	0	9	LassoLarsCV	-0.0184024377258	0.17385125160217285
uball5d	stall	0	2	LassoLarsCV	-0.0184024377258	0.16796660423278809
uball5d	stall	0	0	LassoLarsCV	-0.0184024377258	0.1682569980621338
uball5d	stall	0	6	LassoLarsCV	-0.0184024377258	0.3943145275115967
uball5d	stall	0	5	LassoLarsCV	-0.0184024377258	0.3530862331390381
uball5d	stall	0	1	LassoLarsCV	-0.0184024377258	0.16246724128723145
housing	stall	100	1	DecisionTreeRegressor	0.313013291536	10.743799448013306
enc	stall	100	3	LassoLarsCV	0.839214311598	24.6717209815979
enc	stall	100	4	LassoLarsCV	0.799121534773	24.87869381904602
enc	stall	100	2	LassoLarsCV	0.892629074787	25.33252191543579
enc	stall	100	7	LassoLarsCV	0.804750419518	25.295917510986328
enc	stall	100	0	LassoLarsCV	0.866686541243	25.758382320404053
enc	stall	100	6	LassoLarsCV	0.834238792554	27.145035982131958
concrete	stall	100	1	LassoLarsCV	0.591868799122	28.511929512023926
yacht	stall	0	5	DecisionTreeRegressor	0.986676835257	0.034970760345458984
yacht	stall	0	4	DecisionTreeRegressor	0.989189666907	0.03756546974182129
yacht	stall	0	7	DecisionTreeRegressor	0.986934051094	0.03665614128112793
concrete	stall	100	4	LassoLarsCV	0.55196243343	28.959498405456543
yacht	stall	0	2	DecisionTreeRegressor	0.986806047349	0.03872513771057129
yacht	stall	0	6	DecisionTreeRegressor	0.987940969794	0.03580164909362793
yacht	stall	0	3	DecisionTreeRegressor	0.98822828398	0.03661489486694336
yacht	stall	0	1	DecisionTreeRegressor	0.989751428078	0.04140901565551758
yacht	stall	0	8	DecisionTreeRegressor	0.989624781657	0.0376894474029541
yacht	stall	0	9	DecisionTreeRegressor	0.987873078628	0.03795909881591797
concrete	stall	100	7	LassoLarsCV	-15.3396584844	29.153618812561035
yacht	stall	10	0	DecisionTreeRegressor	0.987702569624	0.8318486213684082
yacht	stall	10	1	DecisionTreeRegressor	0.987342006646	0.7839033603668213
enc	stall	100	1	LassoLarsCV	0.884884569164	27.147624015808105
uball5d	stall	10	9	LassoLarsCV	0.708744447558	6.556309223175049
uball5d	stall	10	5	LassoLarsCV	0.72250114162	6.661461353302002
uball5d	stall	10	7	LassoLarsCV	0.742222140322	6.750471591949463
uball5d	stall	10	4	LassoLarsCV	0.702081766413	7.102633476257324
concrete	stall	100	3	LassoLarsCV	0.47718802248	30.538984060287476
uball5d	stall	10	2	LassoLarsCV	0.733651171556	6.960939884185791
uball5d	stall	10	6	LassoLarsCV	0.587508940247	7.285112619400024
concrete	stall	100	8	LassoLarsCV	0.18190351617	30.108656644821167
concrete	stall	100	9	LassoLarsCV	0.618464305323	30.415992259979248
concrete	stall	100	0	LassoLarsCV	0.642652508639	31.2460618019104
uball5d	stall	0	4	LassoLarsCV	-0.0184024377258	0.17382502555847168
uball5d	stall	10	0	LassoLarsCV	0.716554327123	7.806122541427612
uball5d	stall	10	3	LassoLarsCV	0.737971381103	8.477329015731812
enc	stall	100	9	LassoLarsCV	0.889921754112	30.57695746421814
concrete	stall	100	6	LassoLarsCV	0.54938436692	31.531124591827393
uball5d	stall	10	8	LassoLarsCV	0.665934064834	8.42181396484375
concrete	stall	100	2	LassoLarsCV	0.587735194135	31.927388191223145
uball5d	stall	10	2	DecisionTreeRegressor	0.809660071319	14.003328084945679
yacht	stall	0	0	DecisionTreeRegressor	0.989330353779	0.0385890007019043
enc	stall	100	5	LassoLarsCV	0.854838193167	30.47451376914978
uball5d	stall	10	8	DecisionTreeRegressor	0.827945140667	14.641509294509888
uball5d	stall	10	1	DecisionTreeRegressor	0.807066313717	14.821428298950195
uball5d	stall	10	1	LassoLarsCV	0.646512497578	10.158145189285278
yacht	stall	0	1	LassoLarsCV	0.649527047326	0.11721372604370117
yacht	stall	0	2	LassoLarsCV	0.649527047326	0.12413740158081055
enc	stall	100	8	LassoLarsCV	0.881071467852	31.199982166290283
yacht	stall	0	0	LassoLarsCV	0.649527047326	0.1287550926208496
yacht	stall	10	5	DecisionTreeRegressor	0.985906068761	0.9318218231201172
yacht	stall	10	7	DecisionTreeRegressor	0.986589101158	1.029334545135498
yacht	stall	10	3	DecisionTreeRegressor	0.985761993995	0.9840738773345947
yacht	stall	10	4	DecisionTreeRegressor	0.98917332167	1.119936466217041
concrete	stall	100	5	LassoLarsCV	0.599786551594	35.38579535484314
uball5d	stall	10	6	DecisionTreeRegressor	0.805000944231	16.650034427642822
yacht	stall	10	2	DecisionTreeRegressor	0.98608749128	1.1712639331817627
yacht	stall	10	8	DecisionTreeRegressor	0.985957039866	1.0721840858459473
uball5d	stall	10	5	DecisionTreeRegressor	0.841246702598	16.78978657722473
uball5d	stall	10	0	DecisionTreeRegressor	0.831754421594	17.270235300064087
uball5d	stall	10	4	DecisionTreeRegressor	0.812863136405	18.13183069229126
uball5d	stall	10	3	DecisionTreeRegressor	0.811739218557	12.179168224334717
housing	stall	100	0	LassoLarsCV	-0.371929429595	23.443652629852295
uball5d	stall	10	7	DecisionTreeRegressor	0.822071097836	19.90845823287964
yacht	stall	0	9	LassoLarsCV	0.649527047326	0.1294574737548828
yacht	stall	0	3	LassoLarsCV	0.649527047326	0.12177610397338867
yacht	stall	0	5	LassoLarsCV	0.649527047326	0.11821675300598145
yacht	stall	0	7	LassoLarsCV	0.649527047326	0.12435626983642578
yacht	stall	0	4	LassoLarsCV	0.649527047326	0.1262679100036621
yacht	stall	0	8	LassoLarsCV	0.649527047326	0.12798714637756348
uball5d	stall	10	9	DecisionTreeRegressor	0.808207910294	20.535948276519775
housing	stall	100	1	LassoLarsCV	0.401429799516	24.957534551620483
yacht	stall	0	6	LassoLarsCV	0.649527047326	0.12346768379211426
yacht	stall	100	4	DecisionTreeRegressor	0.991219772699	6.620037078857422
yacht	stall	100	8	DecisionTreeRegressor	0.988733307013	7.37001633644104
yacht	stall	10	9	LassoLarsCV	0.94518083869	2.517099142074585
housing	stall	100	3	LassoLarsCV	0.411836687681	23.512585878372192
yacht	stall	10	0	LassoLarsCV	0.913308350213	2.631525993347168
housing	stall	100	6	LassoLarsCV	0.358058467375	26.74642300605774
yacht	stall	10	8	LassoLarsCV	0.932755270184	2.696915864944458
yacht	stall	100	3	DecisionTreeRegressor	0.987928822785	7.2911505699157715
yacht	stall	100	6	DecisionTreeRegressor	0.989389399188	7.8018717765808105
yacht	stall	10	4	LassoLarsCV	0.936361037371	2.8356611728668213
yacht	stall	10	1	LassoLarsCV	0.969136593636	2.8717565536499023
yacht	stall	10	6	LassoLarsCV	0.957237509473	3.169705867767334
5798034668
yacht	stall	100	1	DecisionTreeRegressor	0.989308166419	8.00155782699585
yacht	stall	100	9	DecisionTreeRegressor	0.985308484382	8.250226974487305
yacht	stall	10	7	LassoLarsCV	0.935638337027	4.286481142044067
yacht	stall	10	9	DecisionTreeRegressor	0.989469889119	0.8836703300476074
heart	stall	0	5	LogisticRegression	0.840740740741	0.06217479705810547
heart	stall	0	9	LogisticRegression	0.840740740741	0.06035733222961426
heart	stall	0	1	LogisticRegression	0.840740740741	0.06177973747253418
housing	stall	100	8	LassoLarsCV	0.342209936858	29.24716830253601
housing	stall	100	4	LassoLarsCV	0.3377563624	29.167001008987427
heart	stall	0	0	LogisticRegression	0.840740740741	0.06160688400268555
heart	stall	0	8	LogisticRegression	0.840740740741	0.05190849304199219
heart	stall	0	6	LogisticRegression	0.840740740741	0.06003713607788086
heart	stall	0	2	LogisticRegression	0.840740740741	0.058101654052734375
heart	stall	0	7	LogisticRegression	0.840740740741	0.058358192443847656
housing	stall	100	2	LassoLarsCV	-7.03142051006	29.640284538269043
yacht	stall	100	5	DecisionTreeRegressor	0.986940684826	7.719535827636719
housing	stall	100	7	LassoLarsCV	-4.7314204889	30.19148278236389
yacht	stall	10	5	LassoLarsCV	-6.85383909059e+19	2.6463065147399902
yacht	stall	100	7	DecisionTreeRegressor	0.987234819164	7.484286069869995
heart	stall	10	1	LogisticRegression	0.844444444444	1.29990816116333
heart	stall	10	4	LogisticRegression	0.82962962963	1.4848763942718506
heart	stall	10	2	LogisticRegression	0.833333333333	1.2769131660461426
heart	stall	10	3	LogisticRegression	0.822222222222	1.3242599964141846
housing	stall	100	9	LassoLarsCV	0.380734013158	26.45036482810974
heart	stall	10	0	LogisticRegression	0.855555555556	1.7430791854858398
yacht	stall	10	6	DecisionTreeRegressor	0.985968701035	0.866802453994751
yacht	stall	100	2	DecisionTreeRegressor	0.98749571339	7.966970443725586
housing	stall	100	5	LassoLarsCV	0.388286389576	30.85996174812317
heart	stall	0	0	DecisionTreeClassifier	0.703703703704	0.041602373123168945
heart	stall	0	1	DecisionTreeClassifier	0.707407407407	0.04625582695007324
heart	stall	0	5	DecisionTreeClassifier	0.707407407407	0.04285573959350586
heart	stall	0	2	DecisionTreeClassifier	0.7	0.04483318328857422
heart	stall	0	3	DecisionTreeClassifier	0.681481481481	0.04181385040283203
heart	stall	0	4	DecisionTreeClassifier	0.696296296296	0.045407772064208984
heart	stall	0	3	LogisticRegression	0.840740740741	0.058374643325805664
yacht	stall	10	2	LassoLarsCV	0.962525303176	3.5075976848602295
heart	stall	10	5	LogisticRegression	0.840740740741	1.513183832168579
heart	stall	10	6	LogisticRegression	0.844444444444	1.4956753253936768
heart	stall	0	4	LogisticRegression	0.840740740741	0.06064796447753906
heart	stall	10	7	LogisticRegression	0.855555555556	1.8793034553527832
heart	stall	10	9	LogisticRegression	0.837037037037	2.1451902389526367
yacht	stall	10	3	LassoLarsCV	0.879449828646	3.083610773086548
heart	stall	0	6	DecisionTreeClassifier	0.707407407407	0.044762372970581055
heart	stall	0	8	DecisionTreeClassifier	0.707407407407	0.0486302375793457
heart	stall	0	7	DecisionTreeClassifier	0.711111111111	0.05036449432373047
heart	stall	10	6	DecisionTreeClassifier	0.740740740741	1.029449462890625
heart	stall	10	0	DecisionTreeClassifier	0.751851851852	0.978888750076294
heart	stall	10	3	DecisionTreeClassifier	0.725925925926	1.0997486114501953
