dataset	method	trial	ml	score	time
housing	lex_size	8	DecisionTreeRegressor	0.380955712751	8.439028263092041
housing	lex_size	7	DecisionTreeRegressor	0.380552665884	8.595301866531372
housing	lex_size	4	DecisionTreeRegressor	0.489447735892	8.615482807159424
housing	lex_size	19	DecisionTreeRegressor	0.399574067487	8.65938925743103
housing	lex_size	2	DecisionTreeRegressor	0.210197968458	8.751445531845093
housing	lex_size	14	DecisionTreeRegressor	0.348793865755	8.931923627853394
housing	lex_size	11	DecisionTreeRegressor	0.356777696454	8.98701286315918
housing	lex_size	15	DecisionTreeRegressor	0.412846552	9.12154221534729
housing	lex_size	9	DecisionTreeRegressor	0.284755453078	9.136484384536743
concrete	control	18	LassoLarsCV	0.516039723081	30.019099235534668
housing	lex_size	3	DecisionTreeRegressor	0.358090586904	9.465968370437622
housing	lex_size	6	DecisionTreeRegressor	0.193480172838	9.503408670425415
housing	lex_size	1	DecisionTreeRegressor	0.208458964947	9.512800693511963
concrete	control	15	LassoLarsCV	0.611356192173	30.144041061401367
concrete	control	13	LassoLarsCV	0.528143840955	30.16390037536621
housing	lex_size	5	DecisionTreeRegressor	0.172539324244	9.807158946990967
housing	lex_size	10	DecisionTreeRegressor	0.325391038298	9.012485027313232
housing	lex_size	13	DecisionTreeRegressor	0.245821736054	9.212259531021118
concrete	control	0	LassoLarsCV	0.602364087881	32.05012655258179
concrete	control	19	LassoLarsCV	0.657092696379	32.36888670921326
concrete	control	17	LassoLarsCV	0.695619236614	31.29673719406128
concrete	lex_size	0	LassoLarsCV	0.206754284224	33.227428674697876
concrete	control	8	LassoLarsCV	0.688816987721	31.36681365966797
concrete	control	3	LassoLarsCV	0.676910516157	30.9482262134552
concrete	control	1	LassoLarsCV	0.641596575198	31.65191340446472
concrete	lex_size	16	LassoLarsCV	0.443649616856	34.06404972076416
concrete	control	5	LassoLarsCV	0.695586059924	32.393842697143555
concrete	lex_size	15	LassoLarsCV	0.465238763911	34.33272314071655
concrete	lex_size	11	LassoLarsCV	0.584286681919	34.880898237228394
concrete	control	7	LassoLarsCV	0.675025690803	33.89826416969299
concrete	lex_size	12	LassoLarsCV	0.710383357564	35.54871153831482
concrete	lex_size	13	LassoLarsCV	0.60904227181	35.655800104141235
concrete	control	9	LassoLarsCV	0.604692426518	34.371294260025024
concrete	control	10	LassoLarsCV	0.571369810348	33.618873834609985
concrete	lex_size	5	LassoLarsCV	0.563373113566	36.28392696380615
concrete	lex_size	4	LassoLarsCV	-3.66510889739	36.380571126937866
concrete	lex_size	18	LassoLarsCV	0.662884363965	36.395485401153564
concrete	lex_size	2	LassoLarsCV	0.663113434738	35.05933713912964
housing	control	18	DecisionTreeRegressor	0.24260249084	9.44993805885315
housing	control	17	DecisionTreeRegressor	0.206366996907	9.467251062393188
concrete	lex_size	19	LassoLarsCV	0.68197941268	36.8216495513916
concrete	lex_size	17	LassoLarsCV	0.455548272951	36.98891258239746
housing	control	19	DecisionTreeRegressor	-0.483880193013	9.519957542419434
housing	control	0	DecisionTreeRegressor	0.426812899681	9.92094349861145
concrete	lex_size	3	LassoLarsCV	0.471653857597	35.41471862792969
housing	control	14	DecisionTreeRegressor	0.334328745499	9.567109107971191
housing	control	15	DecisionTreeRegressor	0.242950183211	9.649211883544922
housing	control	7	DecisionTreeRegressor	0.21899091321	9.713599443435669
housing	control	2	DecisionTreeRegressor	0.182908651048	10.020921468734741
enc	lex_size	19	LassoLarsCV	0.862067223292	26.169586896896362
housing	control	4	DecisionTreeRegressor	0.491011742142	10.132233142852783
concrete	lex_size	8	LassoLarsCV	-5.05762799673e+45	37.783371925354004
concrete	lex_size	6	LassoLarsCV	0.312233183886	37.24632215499878
concrete	lex_size	9	LassoLarsCV	0.660357362804	37.955764055252075
concrete	lex_size	7	LassoLarsCV	0.567038182754	37.970276832580566
housing	control	8	DecisionTreeRegressor	-0.158559294426	10.517269611358643
housing	control	16	DecisionTreeRegressor	0.275280361483	10.572240591049194
housing	control	5	DecisionTreeRegressor	0.422333481928	10.552917718887329
housing	control	9	DecisionTreeRegressor	0.368980230454	10.779483318328857
housing	control	11	DecisionTreeRegressor	0.381642235711	10.783281564712524
housing	control	6	DecisionTreeRegressor	0.34013622279	10.891782283782959
concrete	lex_size	14	LassoLarsCV	0.692777648692	38.705546855926514
housing	control	1	DecisionTreeRegressor	0.268119685546	11.147989749908447
concrete	lex_size	10	LassoLarsCV	-5.92548281716	37.38300442695618
enc	lex_size	17	LassoLarsCV	0.880675164868	26.93878722190857
housing	control	13	DecisionTreeRegressor	0.241254646692	11.234368801116943
enc	lex_size	12	LassoLarsCV	-38.9630395443	27.40514588356018
enc	lex_size	15	LassoLarsCV	0.832496144051	26.99261736869812
housing	control	3	DecisionTreeRegressor	0.247440194235	11.35746455192566
housing	control	10	DecisionTreeRegressor	0.283149155781	11.435628414154053
enc	lex_size	10	LassoLarsCV	0.856892099209	27.269524574279785
enc	lex_size	11	LassoLarsCV	0.843722333738	27.53127646446228
enc	lex_size	3	LassoLarsCV	0.846875851791	27.50636076927185
enc	lex_size	0	LassoLarsCV	0.883066366673	28.160521030426025
enc	lex_size	13	LassoLarsCV	0.880799876998	27.798556804656982
enc	lex_size	1	LassoLarsCV	0.880838696365	27.788475036621094
enc	lex_size	16	LassoLarsCV	0.863742478875	28.407868146896362
concrete	lex_size	1	LassoLarsCV	0.526544565075	38.63582229614258
enc	lex_size	14	LassoLarsCV	0.88243165027	28.66180682182312
enc	control	15	LassoLarsCV	0.879476563799	23.167067766189575
enc	control	17	LassoLarsCV	0.873226545546	23.855438232421875
enc	lex_size	18	LassoLarsCV	0.849124346164	28.919931650161743
enc	lex_size	7	LassoLarsCV	0.894674775108	29.00989818572998
enc	lex_size	4	LassoLarsCV	0.873252028291	29.44164204597473
enc	lex_size	2	LassoLarsCV	0.87758263746	29.82785415649414
enc	lex_size	9	LassoLarsCV	0.886853290018	29.925064086914062
enc	control	14	LassoLarsCV	0.866686541243	24.672366857528687
enc	control	7	LassoLarsCV	0.845381681265	25.23198437690735
enc	control	19	LassoLarsCV	-4.24536347343e+19	25.31829261779785
enc	lex_size	6	LassoLarsCV	0.882238443631	30.919032335281372
enc	control	5	LassoLarsCV	0.824176428867	25.490196704864502
enc	control	8	LassoLarsCV	0.87024883293	25.589438438415527
enc	control	0	LassoLarsCV	0.872192030257	26.251643180847168
enc	lex_size	8	LassoLarsCV	0.866246673001	31.162867784500122
enc	lex_size	5	LassoLarsCV	0.840556097616	31.176719188690186
enc	control	18	LassoLarsCV	0.866686541243	26.5008487701416
enc	control	2	LassoLarsCV	0.866672299199	26.268715858459473
enc	control	9	LassoLarsCV	0.856022602571	26.698440551757812
enc	control	13	LassoLarsCV	0.866686541243	27.327199459075928
enc	control	12	LassoLarsCV	0.864995918184	28.43740463256836
enc	control	16	LassoLarsCV	0.890950490379	28.205787181854248
enc	control	10	LassoLarsCV	0.768967822779	29.09883737564087
enc	control	11	LassoLarsCV	0.884321178965	30.082443714141846
enc	control	6	LassoLarsCV	0.861875834923	30.596730709075928
enc	control	3	LassoLarsCV	0.870740220099	31.76683783531189
enc	control	1	LassoLarsCV	-75.8170767217	32.23188018798828
housing	control	19	LassoLarsCV	0.310795553239	20.79316020011902
housing	control	13	LassoLarsCV	0.457595565788	21.935381174087524
housing	control	6	LassoLarsCV	0.0455087440178	22.572598457336426
housing	control	15	LassoLarsCV	0.297556316947	23.250093936920166
housing	control	12	LassoLarsCV	0.421917286213	23.192641258239746
housing	control	8	LassoLarsCV	0.310784867599	24.691503763198853
